id,referee,timezone,date,timestamp,league_id,league_name,venue_city,home_team_id,home_team_name,home_team_goals_halftime,home_team_goals_fulltime,away_team_id,away_team_name,away_team_goals_halftime,away_team_goals_fulltime
608787,D. Chiffi,UTC,2021-03-07T19:45:00+00:00,1615146300,135,Serie A,Napoli,492,Napoli,1,3,500,Bologna,0,1
608778,V. Marini,UTC,2021-03-03T17:30:00+00:00,1614792600,135,Serie A,Reggio nell'Emilia,488,Sassuolo,2,3,492,Napoli,1,3
608766,R. Abisso,UTC,2021-02-28T17:00:00+00:00,1614531600,135,Serie A,Napoli,492,Napoli,1,2,506,Benevento,0,0
652273,D. Siebert,UTC,2021-02-25T17:55:00+00:00,1614275700,3,UEFA Europa League,Napoli,492,Napoli,1,2,715,Granada CF,1,1
608758,M. Di Bello,UTC,2021-02-21T17:00:00+00:00,1613926800,135,Serie A,Bergamo,499,Atalanta,0,4,492,Napoli,0,2
652272,S. Karasev,UTC,2021-02-18T20:00:00+00:00,1613678400,3,UEFA Europa League,Granada,715,Granada CF,2,2,492,Napoli,0,0
608749,D. Doveri,UTC,2021-02-13T17:00:00+00:00,1613235600,135,Serie A,Napoli,492,Napoli,1,1,496,Juventus,0,0
672834,F. La Penna,UTC,2021-02-10T19:45:00+00:00,1612986300,137,Coppa Italia,Bergamo,499,Atalanta,2,3,492,Napoli,0,1
608739,G. Manganiello,UTC,2021-02-06T19:45:00+00:00,1612640700,135,Serie A,Genova,495,Genoa,2,2,492,Napoli,0,1
672835,M. Fabbri,UTC,2021-02-03T19:45:00+00:00,1612381500,137,Coppa Italia,Napoli,492,Napoli,0,0,499,Atalanta,0,0
608731,F. La Penna,UTC,2021-01-31T17:00:00+00:00,1612112400,135,Serie A,Napoli,492,Napoli,1,2,523,Parma,0,0
658490,F. Fourneau,UTC,2021-01-28T20:00:00+00:00,1611864000,137,Coppa Italia,Napoli,492,Napoli,4,4,515,Spezia,0,2
608724,M. Fabbri,UTC,2021-01-24T14:00:00+00:00,1611496800,135,Serie A,Verona,504,Verona,1,3,492,Napoli,1,1
648090,"Paolo Valeri, Italy",UTC,2021-01-20T20:00:00+00:00,1611172800,547,Super Cup,Reggio nell'Emilia,496,Juventus,0,2,492,Napoli,0,0
608711,D. Chiffi,UTC,2021-01-17T11:30:00+00:00,1610883000,135,Serie A,Napoli,492,Napoli,4,6,502,Fiorentina,0,0
655491,A. Giua,UTC,2021-01-13T16:45:00+00:00,1610556300,137,Coppa Italia,Napoli,492,Napoli,2,3,511,Empoli,1,2
608703,F. Pasqua,UTC,2021-01-10T14:00:00+00:00,1610287200,135,Serie A,Udine,494,Udinese,1,1,492,Napoli,1,2
608691,M. Mariani,UTC,2021-01-06T17:00:00+00:00,1609952400,135,Serie A,Napoli,492,Napoli,0,1,515,Spezia,0,2
608677,G. Manganiello,UTC,2021-01-03T14:00:00+00:00,1609682400,135,Serie A,Cagliari,490,Cagliari,0,1,492,Napoli,1,4
608669,P. Valeri,UTC,2020-12-23T19:45:00+00:00,1608752700,135,Serie A,Napoli,492,Napoli,0,1,503,Torino,0,1
608660,D. Orsato,UTC,2020-12-20T19:45:00+00:00,1608493500,135,Serie A,Roma,487,Lazio,1,2,492,Napoli,0,0
608648,D. Massa,UTC,2020-12-16T19:45:00+00:00,1608147900,135,Serie A,Milano,505,Inter,0,1,492,Napoli,0,0
608642,F. La Penna,UTC,2020-12-13T14:00:00+00:00,1607868000,135,Serie A,Napoli,492,Napoli,0,2,498,Sampdoria,1,1
635805,O. Grinfeld,UTC,2020-12-10T17:55:00+00:00,1607622900,3,UEFA Europa League,Napoli,492,Napoli,1,1,548,Real Sociedad,0,1
608625,L. Marinelli,UTC,2020-12-06T17:00:00+00:00,1607274000,135,Serie A,Crotone,501,Crotone,0,0,492,Napoli,1,4
635793,R. Buquet,UTC,2020-12-03T20:00:00+00:00,1607025600,3,UEFA Europa League,Alkmaar,201,AZ Alkmaar,0,1,492,Napoli,1,1
608622,M. Di Bello,UTC,2020-11-29T19:45:00+00:00,1606679100,135,Serie A,Napoli,492,Napoli,1,4,497,AS Roma,0,0
635768,H. Özkahya,UTC,2020-11-26T20:00:00+00:00,1606420800,3,UEFA Europa League,Napoli,492,Napoli,1,2,561,HNK Rijeka,0,0
608609,P. Valeri,UTC,2020-11-22T19:45:00+00:00,1606074300,135,Serie A,Napoli,492,Napoli,0,1,489,AC Milan,1,3
608597,F. Pasqua,UTC,2020-11-08T17:00:00+00:00,1604854800,135,Serie A,Bologna,500,Bologna,0,0,492,Napoli,1,1
